Attribute,Attr_New
Persons_postgraduate_degree_level_total,Postgraduate
Persons_graduate_diploma_and_graduate_certificate_level_total,Graduate Diploma or Certificate
Persons_bachelor_degree_level_total,Bachelor
Persons_advanced_diploma_and_diploma_level_total,Diploma or Certificate
Persons_certificate_level_total_total,Diploma or Certificate
Persons_level_of_education_inadequately_described_total,Inadequately Described
Persons_level_of_education_not_stated_total,Not Stated
Persons_total_total,Total
Persons_postgraduate Degree_total,Postgraduate
Persons_graduate Diploma And Graduate Certificate_total,Graduate Diploma or Certificate
Persons_bachelor Degree_total,Bachelor
Persons_advanced Diploma And Diploma_total,Diploma or Certificate
Persons_certificate: Total_total,Total
Persons_level Of Education Inadequately Described_total,Inadequately Described
Persons_level Of Education Not Stated_total,Not Stated
