Attribute,2021,2011,2016,2006,NA
Persons_partner_in_a_registered_marriage_total,TRUE,NA,NA,NA,NA
Persons_partner_in_de_facto_marriage_total,TRUE,TRUE,TRUE,NA,NA
Persons_lone_parent_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_child_under_15_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_dependent_student_aged_15_24_years_total,TRUE,TRUE,TRUE,NA,NA
Persons_non_dependent_child_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_other_related_individual_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_unrelated_individual_living_in_family_household_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_group_household_member_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_lone_person_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_visitor_from_within_australia_total,TRUE,TRUE,TRUE,NA,TRUE
Persons_total_age_0_14_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_15_24_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_25_34_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_35_44_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_45_54_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_55_64_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_65_74_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_75_84_years,TRUE,TRUE,TRUE,NA,NA
Persons_total_age_85_years_and_over,TRUE,TRUE,TRUE,NA,NA
Persons_total_total,TRUE,TRUE,TRUE,TRUE,TRUE
Persons_husband_or_wife_in_a_registered_marriage_total,NA,TRUE,TRUE,NA,NA
Persons_husband Or Wife In Registered Marriage_total,NA,NA,NA,TRUE,NA
Persons_partner In De Facto Marriage_total,NA,NA,NA,TRUE,NA
Persons_lone Parent_total,NA,NA,NA,TRUE,TRUE
Persons_child Under 15_total,NA,NA,NA,TRUE,TRUE
Persons_dependent Student (Aged 15-24 Years)_Total,NA,NA,NA,TRUE,NA
Persons_non-Dependent Child_total,NA,NA,NA,TRUE,TRUE
Persons_other Related Individual_total,NA,NA,NA,TRUE,TRUE
Persons_unrelated Individual Living In Family Household_total,NA,NA,NA,TRUE,TRUE
Persons_group Household Member_total,NA,NA,NA,TRUE,TRUE
Persons_lone Person_total,NA,NA,NA,TRUE,TRUE
Persons_visitor (From Within Australia)_Total,NA,NA,NA,TRUE,TRUE
Persons_total_0-14 Years,NA,NA,NA,TRUE,TRUE
Persons_total_15-24 Years,NA,NA,NA,TRUE,TRUE
Persons_total_25-34 Years,NA,NA,NA,TRUE,TRUE
Persons_total_35-44 Years,NA,NA,NA,TRUE,TRUE
Persons_total_45-54 Years,NA,NA,NA,TRUE,TRUE
Persons_total_55-64 Years,NA,NA,NA,TRUE,TRUE
Persons_total_65-74 Years,NA,NA,NA,TRUE,TRUE
Persons_total_75-84 Years,NA,NA,NA,TRUE,TRUE
Persons_total_85 Years And Over,NA,NA,NA,TRUE,TRUE
